,frame_idx,x1,y1,x2,y2,confidence,class_id,class_name
0,134,635,844,922,1074,0.65385675,37,sports ball
1,962,1546,586,1568,612,0.5139142,37,sports ball
2,964,1554,563,1580,589,0.5759593,37,sports ball
3,981,1562,560,1585,585,0.5117469,37,sports ball
4,982,1564,559,1589,586,0.5680932,37,sports ball
5,1011,382,512,408,535,0.60410446,37,sports ball
6,1022,378,529,403,555,0.5651181,37,sports ball
7,1033,372,526,399,554,0.634874,37,sports ball
8,1055,359,485,389,510,0.5844243,37,sports ball
9,1066,353,463,385,495,0.77387995,37,sports ball
10,1144,321,476,350,505,0.6939095,37,sports ball
11,1147,1582,723,1610,751,0.6119282,37,sports ball
12,1148,1579,743,1610,769,0.51354575,37,sports ball
13,1191,1594,825,1628,855,0.6497716,37,sports ball
14,1256,1748,599,1784,631,0.51445425,37,sports ball
15,1257,1755,573,1789,610,0.5111039,37,sports ball
16,1258,1755,545,1788,577,0.7523603,37,sports ball
17,1262,1710,441,1743,471,0.5163922,37,sports ball
18,1264,1662,406,1697,435,0.57264835,37,sports ball
19,1265,1646,389,1676,422,0.50915545,37,sports ball
20,1302,1560,389,1586,417,0.68231505,37,sports ball
21,1303,1568,392,1599,420,0.5899019,37,sports ball
22,1339,1414,118,1445,151,0.6129054,37,sports ball
23,1359,999,17,1030,48,0.5142619,37,sports ball
24,1370,760,113,795,145,0.6692097,37,sports ball
25,1375,634,198,667,231,0.53095526,37,sports ball
26,1386,557,423,587,452,0.80949676,37,sports ball
27,1387,563,448,593,476,0.5754519,37,sports ball
28,1431,371,498,403,527,0.5591863,37,sports ball
29,1442,400,427,430,455,0.5706607,37,sports ball
30,1443,1501,520,1524,543,0.75396615,37,sports ball
31,1445,416,425,449,455,0.5105604,37,sports ball
32,1446,438,425,466,453,0.78301084,37,sports ball
33,1447,456,425,485,453,0.8318504,37,sports ball
34,1448,475,426,505,455,0.74548244,37,sports ball
35,1449,494,429,524,457,0.7455104,37,sports ball
36,1450,514,432,543,460,0.7431545,37,sports ball
37,1451,532,436,561,465,0.78427386,37,sports ball
38,1452,553,442,582,470,0.6663969,37,sports ball
39,1453,571,449,602,478,0.6943394,37,sports ball
40,1454,589,457,620,487,0.7623238,37,sports ball
41,1456,608,465,640,496,0.86676633,37,sports ball
42,1457,626,477,658,506,0.79343146,37,sports ball
43,1458,643,487,676,519,0.83524835,37,sports ball
44,1459,660,501,690,530,0.57621634,37,sports ball
45,1473,861,614,893,645,0.5562967,37,sports ball
46,1476,875,628,909,658,0.5542536,37,sports ball
47,1478,881,645,910,674,0.5905831,37,sports ball
48,1479,883,668,911,697,0.83421755,37,sports ball
49,1480,881,689,911,721,0.8091577,37,sports ball
50,1481,880,712,909,741,0.7320389,37,sports ball
51,1482,873,724,904,758,0.569098,37,sports ball
52,1484,838,683,869,712,0.803253,37,sports ball
53,1485,820,664,852,695,0.60316783,37,sports ball
54,1486,802,648,830,677,0.6054454,37,sports ball
55,1487,780,632,812,661,0.5057648,37,sports ball
56,1504,547,615,581,646,0.7360416,37,sports ball
57,1505,544,627,575,658,0.5806537,37,sports ball
58,1509,519,730,551,761,0.73252594,37,sports ball
59,1539,462,766,498,804,0.5989471,37,sports ball
60,1545,495,736,529,765,0.7091514,37,sports ball
61,1546,497,715,536,753,0.5130016,37,sports ball
62,1554,1494,536,1519,559,0.78856593,37,sports ball
63,1563,693,809,730,846,0.6498624,37,sports ball
64,1567,713,756,746,785,0.5847593,37,sports ball
65,1568,717,742,751,776,0.78715456,37,sports ball
66,1569,725,732,757,761,0.77173626,37,sports ball
67,1570,729,719,762,750,0.7917382,37,sports ball
68,1571,732,710,765,742,0.7724335,37,sports ball
69,1572,736,704,768,738,0.7087042,37,sports ball
70,1573,738,702,771,734,0.6817304,37,sports ball
71,1574,738,702,772,734,0.57902384,37,sports ball
72,1575,738,707,771,738,0.7443544,37,sports ball
73,1576,736,713,767,745,0.78696805,37,sports ball
74,1578,729,728,761,758,0.66589415,37,sports ball
75,1579,721,742,753,774,0.7566039,37,sports ball
76,1580,713,760,745,792,0.6836183,37,sports ball
77,1585,1023,592,1037,604,0.6682053,37,sports ball
78,1607,907,659,945,689,0.60554314,37,sports ball
79,1611,979,722,1009,756,0.5425983,37,sports ball
80,1612,986,705,1016,733,0.8190235,37,sports ball
81,1613,994,686,1023,715,0.87473685,37,sports ball
82,1614,998,670,1029,698,0.6160208,37,sports ball
83,1662,983,637,1016,676,0.52497476,37,sports ball
84,1663,981,635,1019,672,0.6447661,37,sports ball
85,1665,1490,553,1513,575,0.7289979,37,sports ball
86,1764,1128,408,1155,435,0.5186419,37,sports ball
87,1766,1122,404,1150,432,0.53453386,37,sports ball
88,1768,1114,401,1140,429,0.57857454,37,sports ball
89,1769,1108,406,1136,430,0.7170611,37,sports ball
90,1770,1104,409,1131,432,0.72332036,37,sports ball
91,1772,1099,412,1126,439,0.7567155,37,sports ball
92,1773,1098,420,1126,445,0.5587925,37,sports ball
93,1774,1098,424,1125,451,0.7354444,37,sports ball
94,1775,1100,432,1127,459,0.6337706,37,sports ball
95,1776,1494,538,1519,562,0.8053496,37,sports ball
96,1778,1102,443,1128,467,0.7905029,37,sports ball
97,1779,1104,451,1131,477,0.7660468,37,sports ball
98,1780,1108,464,1135,488,0.6166996,37,sports ball
99,1782,1121,488,1147,512,0.72098714,37,sports ball
100,1783,1127,500,1154,528,0.8030793,37,sports ball
101,1784,1140,490,1166,516,0.6002522,37,sports ball
102,1786,1167,469,1192,494,0.56424665,37,sports ball
103,1789,1190,452,1215,475,0.5743756,37,sports ball
104,1858,711,491,741,517,0.5290947,37,sports ball
105,1887,1498,524,1521,545,0.8286802,37,sports ball
106,1998,1503,508,1527,530,0.6559111,37,sports ball
107,2022,1294,436,1329,470,0.50427854,37,sports ball
108,2038,1328,109,1363,145,0.6590267,37,sports ball
109,2039,1329,101,1362,137,0.5282285,37,sports ball
110,2040,1330,94,1363,126,0.5046785,37,sports ball
111,2042,775,388,795,413,0.51797956,37,sports ball
112,2070,1375,386,1402,417,0.6699279,37,sports ball
113,2071,1378,415,1406,443,0.7625961,37,sports ball
114,2072,1382,443,1410,471,0.78159034,37,sports ball
115,2073,1383,473,1414,499,0.7543985,37,sports ball
116,2128,1585,399,1620,428,0.5428327,37,sports ball
117,2130,1551,410,1580,440,0.57651913,37,sports ball
118,2131,1532,422,1562,451,0.6050602,37,sports ball
119,2133,1515,434,1543,461,0.75701016,37,sports ball
120,2134,1498,447,1527,474,0.7894617,37,sports ball
121,2135,1480,458,1508,485,0.8164427,37,sports ball
122,2136,1462,472,1492,502,0.739183,37,sports ball
123,2137,1448,489,1474,515,0.65528667,37,sports ball
124,2143,1416,355,1524,459,0.6238717,37,sports ball
125,2145,1377,500,1406,528,0.609472,37,sports ball
126,2146,1374,488,1401,514,0.70857376,37,sports ball
127,2147,1370,475,1398,500,0.5357742,37,sports ball
128,2148,1368,464,1395,490,0.5670074,37,sports ball
129,2154,1423,356,1520,460,0.8691179,37,sports ball
130,2165,1419,356,1517,461,0.87595963,37,sports ball
131,2173,1329,515,1354,538,0.7024814,37,sports ball
132,2174,1329,515,1353,539,0.50324494,37,sports ball
133,2176,1420,356,1516,461,0.86104256,37,sports ball
134,2180,1326,464,1352,487,0.58842856,37,sports ball
135,2181,1328,457,1351,478,0.6955575,37,sports ball
136,2182,1327,451,1352,474,0.6667835,37,sports ball
137,2183,1328,446,1353,470,0.6111335,37,sports ball
138,2184,1329,442,1353,466,0.61573106,37,sports ball
139,2185,1330,442,1353,466,0.5226633,37,sports ball
140,2187,1417,356,1516,461,0.8537476,37,sports ball
141,2188,1316,472,1340,498,0.8348804,37,sports ball
142,2189,1310,491,1335,516,0.7981844,37,sports ball
143,2192,1302,490,1327,515,0.75566065,37,sports ball
144,2193,1302,475,1327,502,0.78083795,37,sports ball
145,2194,1303,465,1328,490,0.82615787,37,sports ball
146,2195,1303,452,1329,478,0.73853475,37,sports ball
147,2196,1303,444,1329,469,0.79419136,37,sports ball
148,2197,1305,436,1330,458,0.5309504,37,sports ball
149,2198,1418,354,1515,458,0.88103163,37,sports ball
150,2199,1307,428,1331,450,0.80058837,37,sports ball
151,2200,1308,419,1333,445,0.77699524,37,sports ball
152,2201,1308,411,1334,439,0.7890435,37,sports ball
153,2203,1309,406,1337,430,0.6115179,37,sports ball
154,2209,1418,351,1515,454,0.8590308,37,sports ball
155,2211,1313,411,1337,434,0.6045332,37,sports ball
156,2212,1313,414,1336,439,0.6191421,37,sports ball
157,2213,1312,420,1336,444,0.76591384,37,sports ball
158,2214,1311,428,1337,452,0.5961408,37,sports ball
159,2216,1311,445,1337,469,0.60884,37,sports ball
160,2217,1312,454,1336,478,0.6067234,37,sports ball
161,2221,1416,344,1515,447,0.75680804,37,sports ball
162,2223,1311,504,1335,527,0.6077494,37,sports ball
163,2224,1313,518,1338,543,0.686742,37,sports ball
164,2225,1313,523,1339,547,0.5601278,37,sports ball
165,2226,1315,513,1340,536,0.6424031,37,sports ball
166,2230,1321,475,1346,499,0.5194727,37,sports ball
167,2232,1421,337,1514,439,0.77112025,37,sports ball
168,2237,1307,483,1332,506,0.6625338,37,sports ball
169,2238,1299,494,1325,517,0.7891283,37,sports ball
170,2242,1284,499,1310,521,0.7550209,37,sports ball
171,2242,1253,597,1268,613,0.5080474,37,sports ball
172,2243,1417,328,1512,432,0.7996234,37,sports ball
173,2244,1284,489,1310,511,0.7111435,37,sports ball
174,2245,1286,479,1310,501,0.8105873,37,sports ball
175,2246,1288,469,1312,492,0.8403193,37,sports ball
176,2247,1289,461,1315,484,0.7689099,37,sports ball
177,2248,1292,453,1316,476,0.6269592,37,sports ball
178,2249,1294,448,1317,470,0.7135717,37,sports ball
179,2250,1297,440,1323,465,0.72974575,37,sports ball
180,2251,1300,437,1327,461,0.76359963,37,sports ball
181,2252,1304,435,1329,458,0.5683045,37,sports ball
182,2254,1416,320,1510,426,0.7357086,37,sports ball
183,2256,1312,436,1337,458,0.64510256,37,sports ball
184,2258,1308,466,1333,493,0.6590503,37,sports ball
185,2259,1305,485,1329,509,0.7635373,37,sports ball
186,2260,1301,501,1327,528,0.8061207,37,sports ball
187,2261,1303,489,1328,513,0.86602956,37,sports ball
188,2262,1305,474,1330,498,0.78675085,37,sports ball
189,2263,1307,462,1331,486,0.6513729,37,sports ball
190,2264,1306,447,1332,473,0.669758,37,sports ball
191,2265,1418,312,1510,414,0.6745611,37,sports ball
192,2266,1308,438,1331,461,0.5795087,37,sports ball
193,2276,1414,306,1510,410,0.74024403,37,sports ball
194,2283,1273,449,1296,475,0.752218,37,sports ball
195,2284,1270,464,1296,490,0.77721757,37,sports ball
196,2285,1270,480,1295,506,0.73408204,37,sports ball
197,2286,1275,471,1299,494,0.76667154,37,sports ball
198,2287,1415,301,1511,404,0.723609,37,sports ball
199,2288,1281,458,1307,480,0.60711235,37,sports ball
200,2289,1287,445,1312,467,0.52724093,37,sports ball
201,2298,1419,299,1512,402,0.73619735,37,sports ball
202,2309,1421,299,1513,402,0.6466113,37,sports ball
203,2314,1312,451,1338,478,0.6241956,37,sports ball
204,2315,1312,466,1337,493,0.5112512,37,sports ball
205,2316,1314,452,1337,476,0.5748932,37,sports ball
206,2320,1425,304,1514,408,0.58557326,37,sports ball
207,2332,1421,312,1516,414,0.55742323,37,sports ball
208,2337,1079,626,1098,650,0.6091412,37,sports ball
209,2339,1307,441,1331,464,0.6301715,37,sports ball
210,2343,1428,323,1519,431,0.522127,37,sports ball
211,2354,1428,344,1522,452,0.53734654,37,sports ball
212,2365,1424,368,1526,481,0.8437736,37,sports ball
213,2376,1421,396,1528,509,0.7665918,37,sports ball
214,2387,1425,438,1529,558,0.8051874,37,sports ball
215,2391,1398,459,1423,481,0.57444644,37,sports ball
216,2398,1429,502,1532,625,0.7484106,37,sports ball
217,2399,1462,420,1490,446,0.50575984,37,sports ball
218,2431,1437,796,1539,887,0.6900504,37,sports ball
219,2443,1434,773,1532,861,0.7924605,37,sports ball
220,2452,1134,430,1159,454,0.5501422,37,sports ball
221,2453,1131,422,1155,446,0.6257578,37,sports ball
222,2464,1088,409,1115,436,0.5261865,37,sports ball
223,2465,1425,626,1526,717,0.5990808,37,sports ball
224,2466,1084,416,1109,441,0.64972264,37,sports ball
225,2467,1080,421,1103,446,0.54322314,37,sports ball
226,2487,1420,519,1519,622,0.60703,37,sports ball
227,2498,1411,473,1512,592,0.8135908,37,sports ball
228,2509,1406,453,1505,562,0.87392765,37,sports ball
229,2520,1400,433,1501,538,0.85933304,37,sports ball
230,2531,1391,420,1490,521,0.82718265,37,sports ball
231,2542,1375,420,1477,515,0.88080174,37,sports ball
232,2554,1358,415,1460,518,0.8944666,37,sports ball
233,2565,1335,426,1435,532,0.88162315,37,sports ball
234,2576,1310,448,1413,553,0.83786213,37,sports ball
235,2587,1290,474,1393,587,0.79768986,37,sports ball
