,frame_idx,x1,y1,x2,y2,confidence,class_id,class_name,cx,cy,area,dx,dy,d_area,magnitude
0,962,1546,586,1568,612,0.5139142,37,sports ball,1557.0,599.0,572,32.55072023952601,-15.052356180127633,-65438.0,35.8625544919114
1,964,1554,563,1580,589,0.5759593,37,sports ball,1567.0,576.0,676,0.38461538461538464,-0.8846153846153846,104.0,0.9646104772295733
2,981,1562,560,1585,585,0.5117469,37,sports ball,1573.5,572.5,575,0.2710687382741972,-0.14596008983995234,-101.0,0.3078678429060953
3,982,1564,559,1589,586,0.5680932,37,sports ball,1576.5,572.5,675,0.11547005383792515,0.0,100.0,0.11547005383792515
4,1011,382,512,408,535,0.60410446,37,sports ball,395.0,523.5,598,-48.315127947970524,-2.00375900926835,-77.0,48.35666074902181
5,1022,378,529,403,555,0.5651181,37,sports ball,390.5,542.0,650,-0.17650452162436564,0.7256297000112809,52.0,0.7467879938056768
6,1033,372,526,399,554,0.634874,37,sports ball,385.5,540.0,756,-0.181848241863327,-0.07273929674533079,106.0,0.19585655046433437
7,1055,359,485,389,510,0.5844243,37,sports ball,374.0,497.5,750,-0.41992062742062736,-1.5518805795979707,-6.0,1.607689854003771
8,1066,353,463,385,495,0.77387995,37,sports ball,369.0,479.0,1024,-0.15625,-0.578125,274.0,0.598867746773025
9,1144,321,476,350,505,0.6939095,37,sports ball,335.5,490.5,841,-1.1551724137931034,0.39655172413793105,-183.0,1.2213421205810233
10,1147,1582,723,1610,751,0.6119282,37,sports ball,1596.0,737.0,784,45.017857142857146,8.803571428571429,-57.0,45.8705824209008
11,1148,1579,743,1610,769,0.51354575,37,sports ball,1594.5,756.0,806,-0.05283524652572602,0.6692464559925295,22.0,0.6713288181912013
12,1191,1594,825,1628,855,0.6497716,37,sports ball,1611.0,840.0,1020,0.5166350401452483,2.630142022557628,214.0,2.680402735323446
13,1256,1748,599,1784,631,0.51445425,37,sports ball,1766.0,615.0,1152,4.56673129516312,-6.629126073623883,132.0,8.049866285984024
14,1257,1755,573,1789,610,0.5111039,37,sports ball,1772.0,591.5,1258,0.1691651623303803,-0.6625635524606561,106.0,0.6838181872365992
15,1258,1755,545,1788,577,0.7523603,37,sports ball,1771.5,561.0,1056,-0.01538643637241659,-0.938572618717412,-202.0,0.9386987285760554
16,1262,1710,441,1743,471,0.5163922,37,sports ball,1726.5,456.0,990,-1.4301938838683883,-3.337119062359573,-66.0,3.630677372311974
17,1264,1662,406,1697,435,0.57264835,37,sports ball,1679.5,420.5,1015,-1.4752473283497096,-1.1142825565194614,25.0,1.8487780547070822
18,1265,1646,389,1676,422,0.50915545,37,sports ball,1661.0,405.5,990,-0.5879685967014485,-0.4767312946227961,-25.0,0.7569542905485099
19,1302,1560,389,1586,417,0.68231505,37,sports ball,1573.0,403.0,728,-3.261496993308845,-0.09265616458263765,-262.0,3.2628128665612746
20,1303,1568,392,1599,420,0.5899019,37,sports ball,1583.5,406.0,868,0.3563932224836186,0.1018266349953196,140.0,0.37065454621079197
21,1339,1414,118,1445,151,0.6129054,37,sports ball,1429.5,134.5,1023,-4.814851576001563,-8.488520797950807,155.0,9.758984631413666
22,1359,999,17,1030,48,0.5142619,37,sports ball,1014.5,32.5,961,-13.387096774193548,-3.2903225806451615,-62.0,13.785520763697203
23,1370,760,113,795,145,0.6692097,37,sports ball,777.5,129.0,1120,-7.081729510306282,2.8834890200192245,159.0,7.64626717985412
24,1375,634,198,667,231,0.53095526,37,sports ball,650.5,214.5,1089,-3.8484848484848486,2.590909090909091,-31.0,4.639358311919097
25,1386,557,423,587,452,0.80949676,37,sports ball,572.0,437.5,870,-2.661399251711681,7.5604080653720365,-219.0,8.015161638541922
26,1387,563,448,593,476,0.5754519,37,sports ball,578.0,462.0,840,0.20701966780270628,0.845330310194384,-30.0,0.8703105630695724
27,1431,371,498,403,527,0.5591863,37,sports ball,387.0,512.5,928,-6.269882169051752,1.6577437148539973,88.0,6.485332423086039
28,1442,400,427,430,455,0.5706607,37,sports ball,415.0,441.0,840,0.9660917830792959,-2.4669843746489164,-88.0,2.6494046950391024
29,1443,1501,520,1524,543,0.75396615,37,sports ball,1512.5,531.5,529,47.71739130434783,3.9347826086956523,-311.0,47.87934781374892
30,1445,416,425,449,455,0.5105604,37,sports ball,432.5,440.0,990,-34.32465321284132,-2.9080608971990562,461.0,34.4476216358058
31,1446,438,425,466,453,0.78301084,37,sports ball,452.0,439.0,784,0.6964285714285714,-0.03571428571428571,-206.0,0.6973437210630941
32,1447,456,425,485,453,0.8318504,37,sports ball,470.5,439.0,812,0.6492227258678267,0.0,28.0,0.6492227258678267
33,1448,475,426,505,455,0.74548244,37,sports ball,490.0,440.5,870,0.6611119160302902,0.05085476277156078,58.0,0.6630649835527384
34,1449,494,429,524,457,0.7455104,37,sports ball,509.0,443.0,840,0.6555622813752365,0.08625819491779428,-30.0,0.6612128106384365
35,1450,514,432,543,460,0.7431545,37,sports ball,528.5,446.0,812,0.6843158461850065,0.10527936095153946,-28.0,0.6923668978094389
36,1451,532,436,561,465,0.78427386,37,sports ball,546.5,450.5,841,0.6206896551724138,0.15517241379310345,29.0,0.6397922522510163
37,1452,553,442,582,470,0.6663969,37,sports ball,567.5,456.0,812,0.7369555266607762,0.193012161744489,-29.0,0.7618117502750551
38,1453,571,449,602,478,0.6943394,37,sports ball,586.5,463.5,899,0.6336854786668166,0.25013900473690126,87.0,0.6812685282353501
39,1454,589,457,620,487,0.7623238,37,sports ball,604.5,472.0,930,0.5902432522055576,0.27872598020818,31.0,0.6527444130876987
40,1456,608,465,640,496,0.86676633,37,sports ball,624.0,480.5,992,0.6191256191259287,0.26987526987540483,62.0,0.6753881798998167
41,1457,626,477,658,506,0.79343146,37,sports ball,642.0,491.5,928,0.5908789478687515,0.361092690364237,-64.0,0.6924780589079812
42,1458,643,487,676,519,0.83524835,37,sports ball,659.5,503.0,1056,0.5385252730345806,0.3538880365655816,128.0,0.644396005668263
43,1459,660,501,690,530,0.57621634,37,sports ball,675.0,515.5,870,0.5254992153061281,0.4237896897630065,-186.0,0.6750904579660282
44,1473,861,614,893,645,0.5562967,37,sports ball,877.0,629.5,992,6.41350641350962,3.619503619505429,122.0,7.364364939880556
45,1476,875,628,909,658,0.5542536,37,sports ball,892.0,643.0,1020,0.46966821831386213,0.4227013964824759,28.0,0.6318739636053641
46,1478,881,645,910,674,0.5905831,37,sports ball,895.5,659.5,841,0.1206896551724138,0.5689655172413793,-179.0,0.5816250963252759
