,offset_ms,offset_sec,frame_idx,text
0,0,0.0,0,m.
1,0,0.0,0,school or watch nba?HAHA
2,0,0.0,0,やいっやいっ
3,0,0.0,0,lakers in 6
4,0,0.0,0,vamos mi LAkers
5,0,0.0,0,LeBron Or Steph?
6,0,0.0,0,Lebron
7,0,0.0,0,lebron james
8,0,0.0,0,hi guys
9,0,0.0,0,lebron James
10,0,0.0,0,curry vs lebron
11,0,0.0,0,hello @ unaiHAK4
12,0,0.0,0,BFF a play in game is not a classic
13,0,0.0,0,hope GS wins
14,0,0.0,0,same
15,0,0.0,0,hello
16,0,0.0,0,cause GS lose in game 1
17,0,0.0,0,hello
18,0,0.0,0,hello
19,0,0.0,0,we love GS right
20,0,0.0,0,hi
21,0,0.0,0,lakars. we love right
22,0,0.0,0,Great game let's Bron! AD
23,0,0.0,0,*go
24,0,0.0,0,ummm idk no subcribe if you love GS or like if you love LAL
25,0,0.0,0,Love both teams but Bron my guy!
26,0,0.0,0,true
27,0,0.0,0,we are Lakers
28,0,0.0,0,but i dont know whos better
29,0,0.0,0,yeah everthing are both goat
30,0,0.0,0,lakars
31,0,0.0,0,uuhhhh
32,0,0.0,0,may ido LBJ
33,0,0.0,0,Let's Go WARRIORS
34,0,0.0,0,hey @ arjayrbarros who is better
35,0,0.0,0,lakars
36,0,0.0,0,ok
37,0,0.0,0,OH MY GOD LEBRON
38,0,0.0,0,i hope warriors win game 2 and 3 or else where screwed
39,0,0.0,0,lets make lakers to Golden state as a golden lakers
40,0,0.0,0,i have a feeling the lakers won this game
41,1312,1.312,39,Warriors
42,3048,3.048,91,This is game 2 guys
43,3997,3.997,119,hehe
44,5052,5.052,151,lets goo
45,5388,5.388,161,warriors
46,5416,5.416,162,warriors win
47,8395,8.395,251,9
48,9174,9.174,275,This isgame 2 guys
49,9522,9.522,285,8
50,10382,10.382,311,7
51,11120,11.12,333,warrioors win
52,11625,11.625,348,5
53,12117,12.117,363,this is literally from 2 years ago
54,12207,12.207,366,4
55,12927,12.927,387,3
56,13037,13.037,391,lesgo
57,13655,13.655,409,6
58,13690,13.69,410,ok ok
59,14083,14.083,422,5
60,14204,14.204,426,2
61,14399,14.399,431,baka dito manalo naman sana GO gsw..
62,14508,14.508,435,2021
63,15293,15.293,458,1
64,15933,15.933,477,lakars wun
65,16733,16.733,501,im betting anyone $100 Warriors win
66,18322,18.322,549,GS will win
67,21034,21.034,631,warriors
68,21272,21.272,638,this is from 2 years ago
69,21482,21.482,644,naahhh warriors
70,31187,31.187,935,curry
71,32910,32.91,987,lakars win
72,39557,39.557,1186,let's go warriors
73,48548,48.548,1456,Yessssssssss CURRY
74,52679,52.679,1580,lakers
75,54967,54.967,1649,worriors
76,55991,55.991,1679,lakerss
77,60274,60.274,1808,uuuff
78,63920,63.92,1917,lakers
79,69089,69.089,2072,goo GS
80,73234,73.234,2197,Never had watched one of these games from years ago live
81,78667,78.667,2360,yeessss
82,89705,89.705,2691,LEBRON FOR THE WINNN
83,89992,89.992,2699,AD IS A BRICK
84,93654,93.654,2809,lebron better
85,96761,96.761,2902,get a dub
86,98904,98.904,2967,yes
87,103922,103.922,3117,my bro
88,106725,106.725,3201,I'm betting $250 warriors win
89,110009,110.009,3300,lebron
90,118086,118.086,3542,goo GS
91,119016,119.016,3570,GREEEEENNNNNN
92,120622,120.622,3618,remember when Jordan Poole saw-
93,133567,133.567,4007,go warriors
94,143494,143.494,4304,1000$
95,153140,153.14,4594,Letsssss goooo
96,155010,155.01,4650,for warriors
97,162655,162.655,4879,letssss gooo
98,172426,172.426,5172,$100 on warriors losing by 3
99,179824,179.824,5394,GOAT - Michael Jordan
100,181657,181.657,5449,yes
101,186803,186.803,5604,Jordan aways rizzing up them baddies
102,200332,200.332,6009,another 100 on both teams getting double digits
103,201086,201.086,6032,1000$ for GS
104,201103,201.103,6033,yb better
105,206390,206.39,6191,supporting lakers
106,210002,210.002,6300,wtf drummond
107,217977,217.977,6539,you lose
108,220614,220.614,6618,i hope lakers win the championship
109,223404,223.404,6702,lakers win by 3 btw
110,235617,235.617,7068,GS free
111,236025,236.025,7080,why is this from 2021
112,239854,239.854,7195,ma
113,248774,248.774,7463,Happy Thursday
114,260981,260.981,7829,ooohh too close
115,262844,262.844,7885,TODAY GS WIN
116,263211,263.211,7896,i think curry is better than lebron
117,268639,268.639,8059,lakers in 4
118,284204,284.204,8526,gs in 4
119,285987,285.987,8579,yeeaah 3 point
120,299108,299.108,8973,GS 4 : LAL 2 maybe
121,300814,300.814,9024,gs wins close game tho
122,308770,308.77,9263,If you still dont know this is just a rerun of the play in game from 2021...
123,310433,310.433,9312,If you still dont know this is just a rerun of the play in game from 2021...
124,314910,314.91,9447,If you still dont know this is just a rerun of the play in game from 2021...
125,314959,314.959,9448,W lakers
126,321302,321.302,9639,curry the goat
127,330629,330.629,9918,S CURRY 50PTS 가즈아!!
128,332656,332.656,9979,Curry is a bum
129,333043,333.043,9991,LAL in 5
130,340123,340.123,10203,@Lake Tahoe skiing adventures wdy mean warriors in 4?!?!
131,341748,341.748,10252,curry needs to retire already
132,348617,348.617,10458,lol
133,359445,359.445,10783,Buddy is like 35
134,371686,371.686,11150,curry goat ???
135,373147,373.147,11194,umm i think GS wins cause they are both strong like cool
136,384417,384.417,11532,i think lebron needs to retire
137,395568,395.568,11867,Lebron is better currently and all time
138,401046,401.046,12031,curry i support you
139,406854,406.854,12205,go GS
140,414982,414.982,12449,Golden state finna lose
141,416955,416.955,12508,onb
142,417032,417.032,12510,me too
143,419115,419.115,12573,agree
144,423780,423.78,12713,@mahomes 15 as he airballs lmao
145,439833,439.833,13194,hi
146,440162,440.162,13204,;
147,441238,441.238,13237,@mahomes 15 put some money on it
148,449434,449.434,13483,pro GS
149,452674,452.674,13580,Warriors won championship after this season
150,452793,452.793,13583,curry younger than lebron
151,457061,457.061,13711,@Dallas Fleury this was last year goofy
152,466041,466.041,13981,go GS please
153,472361,472.361,14170,Then why you being goofy saying GS wins
154,474574,474.574,14237,oohh
155,475978,475.978,14279,@Dallas Fleury I don’t bet because when i win i neva get my money
156,478649,478.649,14359,u can steam
157,502955,502.955,15088,The warriors old
158,519604,519.604,15588,bullseye
159,528919,528.919,15867,they need to trade curry klay and green already
160,529997,529.997,15899,Lmao AD gets hurt this game and the lakers fall apart
161,543601,543.601,16308,What time is it in San Francisco now?
162,546287,546.287,16388,nada que ver esos lakers vs los actuales
163,554823,554.823,16644,It don’t matter cuz the lakers finna win the series this year
164,557019,557.019,16710,emagine they are both win tie atleast they are nice and strong
165,564387,564.387,16931,lebron better all time and currently
166,570042,570.042,17101,yall too scared to admit it
167,572536,572.536,17176,maybe the series but I dont think they get past the nuggets
168,574934,574.934,17248,I like james
169,581060,581.06,17431,GO LEBRON
170,586577,586.577,17597,9:09am
171,588677,588.677,17660,LeBron vs Curry
172,591803,591.803,17754,@mahomes 15 better than who? Curry?
173,592271,592.271,17768,nice
174,617097,617.097,18512,@wes Allard thanks
175,626338,626.338,18790,warriors in 6
176,626854,626.854,18805,record
177,628579,628.579,18857,lebrons bad
178,640183,640.183,19205,lakers in 4
179,640359,640.359,19210,yes
180,643897,643.897,19316,lakers will beat tf outta the nuggets
181,648491,648.491,19454,Oh I agree James is better than curry for sure all time
182,651614,651.614,19548,this game is so heartbreaking for warrior fans
183,654673,654.673,19640,15-9
184,658219,658.219,19746,good combination
185,658952,658.952,19768,and currently
186,661780,661.78,19853,lebron official dad of steph
187,666620,666.62,19998,Kobe is better than Lebron
188,672951,672.951,20188,This was a good game.. and pretty much a must win situation. Definitely a classic
189,674945,674.945,20248,no hes not
190,676685,676.685,20300,go curry
191,686203,686.203,20586,yes
192,688086,688.086,20642,Curry is better than Lebron
193,690157,690.157,20704,what is this?
194,693843,693.843,20815,Covid era
195,695183,695.183,20855,lebron>Jordan>Kobe
196,697928,697.928,20937,This gsw jersey was awesome
197,699890,699.89,20996,ah a replay?
198,702570,702.57,21077,true K
199,706786,706.786,21203,Lebron the greatest of all time
200,710957,710.957,21328,@Siddharth false
201,710973,710.973,21329,kobe>>>>>>>>>>>>>>
202,713811,713.811,21414,Warriors in 5
203,715053,715.053,21451,kobe just chucked up shots
204,716556,716.556,21496,nice GS
205,725237,725.237,21757,Place a bet then
206,726242,726.242,21787,LOL leankle
207,728718,728.718,21861,Stop hating on the warriors Lebron only has 4 rings just like curry quit hating hater fans I mean Laker
208,730272,730.272,21908,lebron
209,735051,735.051,22051,LEANKLE
210,736997,736.997,22109,Damn solomin hill
211,738418,738.418,22152,Jordan >>>>>>>>>>>>lebron
212,754520,754.52,22635,Go Warriors
213,754672,754.672,22640,ok 10+
214,757171,757.171,22715,Solomon hill did nothing wrong
215,758687,758.687,22760,lebron i rate 9/10 but GS 10/10
216,767209,767.209,23016,lakers ako jan
217,777744,777.744,23332,Lebron carried by AD
218,784743,784.743,23542,Curry no defense lol. without Kd curry is just another bum
219,788028,788.028,23640,agree
220,801242,801.242,24037,lebron goat
221,802017,802.017,24060,Anyone who has to chase rings by going to other teams will never bet he G.O.A.T ... just the best scorer
222,807959,807.959,24238,@Siddharth onb
223,809297,809.297,24278,curry won a finals mvp btw
224,810232,810.232,24306,be*
225,811895,811.895,24356,@siddharth Same can be said about the current Lebron
226,812082,812.082,24362,CORUSOGOD
227,821433,821.433,24642,curry was carried by kid
228,822736,822.736,24682,kd
229,826134,826.134,24784,im literally no have idea what is better like they are strong both of them like what the hell
230,828877,828.877,24866,Westbrick
231,831748,831.748,24952,lebron is 39 what ate u expecting lol
232,837430,837.43,25122,Lebron is carrier by AD
233,841578,841.578,25247,carrier*
234,842703,842.703,25281,Lebron can’t get 6 rings u haters bums they make more $$ foo
235,845707,845.707,25371,carried*
236,847759,847.759,25432,at least he played in his era
237,854463,854.463,25633,unlike curry
238,864012,864.012,25920,Lebron is 39 and still the best player on his team
239,868100,868.1,26043,curry washed ash
240,868972,868.972,26069,@ visiOn_ who is better
241,870740,870.74,26122,check the stats
242,874645,874.645,26239,z
243,875015,875.015,26250,warriors are bums
244,880872,880.872,26426,How many rings you think Jordan and Lebron would have gotten if they played together?
245,881248,881.248,26437,AD is clearly better than LBJ
246,881654,881.654,26449,good defense Draymond
247,888284,888.284,26648,they finna lose this series to the lakers and then they’ll trade everyone
248,892724,892.724,26781,lakers kami jan
249,894278,894.278,26828,curry is going to win the series
250,905302,905.302,27159,Draymond Green IS the GOAT
251,912254,912.254,27367,curry is a bum haha
252,912811,912.811,27384,lebron one more title and FMVP to come
253,915940,915.94,27478,yall say anything
254,922702,922.702,27681,@To their playing in the playoffs this year
255,924372,924.372,27731,yall be doing the most
256,927496,927.496,27824,onb
257,939261,939.261,28177,Lakers in 6
258,943748,943.748,28312,warriors are going to beat the lakers
259,945428,945.428,28362,without curry the warriors are nothing
260,947329,947.329,28419,"If Curry wins the series, he's officially better than LeBron"
261,948550,948.55,28456,lebron one more title and FMVP to come
262,948932,948.932,28467,No way
263,950167,950.167,28505,@mahomes 15 r u a warriors hater like me?
264,954478,954.478,28634,kala ko live reply pala hahahaha
265,958375,958.375,28751,Haters
266,958447,958.447,28753,warriors barely good this year
267,967689,967.689,29030,hi
268,969387,969.387,29081,Exactly
269,970748,970.748,29122,@Sam Jordan that wont happen
270,977369,977.369,29321,I love Jimmy Butler these days
271,978216,978.216,29346,Lakers in 10 place
272,982376,982.376,29471,@Sam Jordan that wont happen goofy
273,989637,989.637,29689,Warriors
274,998374,998.374,29951,who is better bro
275,999092,999.092,29972,Warriors finna lose to a play in team
276,1000098,1000.098,30002,warriors have thompson wiggins draymond poole they can still win without curry
277,1009905,1009.905,30297,lebron one more title and FMVP to come
278,1020039,1020.039,30601,thompson and draymond are old
279,1020424,1020.424,30612,Klay is washed    cry about it
280,1027144,1027.144,30814,jordan Poole is a bum
281,1028385,1028.385,30851,So is curry
