quarter,time,team,action,points,score,frame_id
1,0.0,golden_state,Jump ball: K. Looney vs. A. Drummond (L. James gains possession),,,
1,11:37.0,la_lakers,A. Davis misses 2-pt jump shot from 15 ft,,0-0,
1,11:34.0,golden_state,Defensive rebound by S. Curry,,0-0,
1,11:23.0,golden_state,A. Wiggins makes 2-pt layup from 2 ft (assist by D. Green),+2,2-0,
1,11:10.0,la_lakers,A. Drummond makes 2-pt dunk from 1 ft (assist by D. Schröder),+2,2-2,
1,10:55.0,golden_state,K. Bazemore makes 3-pt jump shot from 27 ft (assist by S. Curry),+3,5-2,
1,10:35.0,la_lakers,D. Schröder misses 2-pt jump shot from 12 ft,,5-2,
1,10:31.0,golden_state,Defensive rebound by D. Green,,5-2,
1,10:21.0,golden_state,A. Wiggins makes 2-pt jump shot from 16 ft,+2,7-2,
1,10:04.0,la_lakers,A. Davis misses 2-pt layup from 4 ft,,7-2,
1,10:01.0,golden_state,Defensive rebound by K. Looney,,7-2,
1,9:43.0,golden_state,K. Bazemore misses 2-pt jump shot from 15 ft,,7-2,
1,9:37.0,golden_state,Offensive rebound by K. Looney,,7-2,
1,9:35.0,golden_state,K. Looney makes 2-pt jump shot from 8 ft,+2,9-2,
1,9:26.0,la_lakers,D. Schröder misses 2-pt layup from 2 ft,,9-2,
1,9:23.0,golden_state,Defensive rebound by K. Looney,,9-2,
1,9:10.0,golden_state,Turnover by S. Curry (bad pass; steal by A. Davis),,9-2,
1,9:03.0,la_lakers,A. Davis misses 3-pt jump shot from 25 ft,,9-2,
1,9:00.0,golden_state,Defensive rebound by Team,,9-2,
1,9:00.0,la_lakers,Loose ball foul by A. Drummond (drawn by K. Bazemore),,9-2,
1,8:43.0,golden_state,K. Looney misses 2-pt dunk from 2 ft (block by A. Drummond),,9-2,
1,8:40.0,la_lakers,Defensive rebound by A. Davis,,9-2,
1,8:34.0,la_lakers,A. Davis misses 2-pt layup from 2 ft (block by D. Green),,9-2,
1,8:29.0,la_lakers,Offensive rebound by L. James,,9-2,
1,8:29.0,la_lakers,L. James makes 2-pt layup at rim,+2,9-4,
1,8:22.0,golden_state,S. Curry misses 2-pt layup from 4 ft,,9-4,
1,8:20.0,golden_state,Offensive rebound by K. Looney,,9-4,
1,8:18.0,golden_state,K. Bazemore makes 3-pt jump shot from 23 ft (assist by K. Looney),+3,12-4,
1,8:18.0,la_lakers,LA Lakers full timeout,,12-4,
1,7:57.0,la_lakers,L. James misses 2-pt jump shot from 8 ft (block by A. Wiggins),,12-4,
1,7:56.0,la_lakers,Offensive rebound by L. James,,12-4,
1,7:53.0,la_lakers,L. James misses 2-pt jump shot from 13 ft,,12-4,
1,7:53.0,la_lakers,Offensive rebound by Team,,12-4,
1,7:53.0,la_lakers,Turnover by Team (shot clock),,12-4,
1,7:38.0,golden_state,A. Wiggins makes 3-pt jump shot from 23 ft,+3,15-4,
1,7:11.0,la_lakers,L. James misses 3-pt jump shot from 25 ft,,15-4,
1,7:10.0,golden_state,Defensive rebound by D. Green,,15-4,
1,7:02.0,golden_state,Turnover by K. Bazemore (bad pass; steal by A. Davis),,15-4,
1,7:02.0,golden_state,Jump ball: A. Davis vs. K. Looney (A. Drummond gains possession),,,
1,6:40.0,la_lakers,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by A. Davis),+3,15-7,
1,6:17.0,golden_state,A. Wiggins misses 3-pt jump shot from 27 ft,,15-7,
1,6:13.0,la_lakers,Defensive rebound by A. Drummond,,15-7,
1,5:56.0,la_lakers,Shooting foul by K. Bazemore (drawn by L. James),,15-7,
1,5:56.0,la_lakers,L. James makes free throw 1 of 2,+1,15-8,
1,5:56.0,golden_state,M. Mulder enters the game for K. Looney,,15-8,
1,5:56.0,golden_state,J. Toscano-Anderson enters the game for A. Wiggins,,15-8,
1,5:56.0,la_lakers,L. James makes free throw 2 of 2,+1,15-9,
1,5:46.0,golden_state,S. Curry misses 3-pt jump shot from 26 ft,,15-9,
1,5:43.0,golden_state,Offensive rebound by J. Toscano-Anderson,,15-9,
1,5:42.0,golden_state,D. Green misses 3-pt jump shot from 27 ft,,15-9,
1,5:39.0,la_lakers,Defensive rebound by A. Drummond,,15-9,
1,5:31.0,la_lakers,Turnover by A. Davis (lost ball; steal by K. Bazemore),,15-9,
1,5:26.0,golden_state,K. Bazemore misses 2-pt jump shot from 7 ft,,15-9,
1,5:24.0,la_lakers,Defensive rebound by K. Caldwell-Pope,,15-9,
1,5:19.0,la_lakers,D. Schröder misses 3-pt jump shot from 22 ft,,15-9,
1,5:15.0,la_lakers,Offensive rebound by L. James,,15-9,
1,5:12.0,la_lakers,Shooting foul by J. Toscano-Anderson (drawn by L. James),,15-9,
1,5:12.0,la_lakers,L. James misses free throw 1 of 2,,15-9,
1,5:12.0,la_lakers,Offensive rebound by Team,,15-9,
1,5:12.0,la_lakers,A. Caruso enters the game for D. Schröder,,15-9,
1,5:12.0,la_lakers,L. James makes free throw 2 of 2,+1,15-10,
1,4:59.0,golden_state,S. Curry makes 2-pt jump shot from 8 ft (assist by D. Green),+2,17-10,
1,4:43.0,la_lakers,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by L. James),+3,17-13,
