team,number,full_name,last_name,initial
golden_state,26,Kent Bazemore,Bazemore,K.
golden_state,20,Jordan Bell,Bell,J.
golden_state,32,Marquese Chriss,Chriss,M.
golden_state,30,Stephen Curry,Curry,S.
golden_state,23,Draymond Green,Green,D.
golden_state,1,Damion Lee,Lee,D.
golden_state,5,Kevon Looney,Looney,K.
golden_state,2,Nico Mannion,Mannion,N.
golden_state,15,Mychal Mulder,Mulder,M.
golden_state,12,Kelly Oubre Jr.,Oubre,K.
golden_state,7,Eric Paschall,Paschall,E.
golden_state,0,Gary Payton II,Payton,G.
golden_state,3,Jordan Poole,Poole,J.
golden_state,6,Alen Smailagic,Smailagic,A.
golden_state,95,Juan Toscano-Anderson,Toscano-Anderson,J.
golden_state,10,Brad Wanamaker,Wanamaker,B.
golden_state,22,Andrew Wiggins,Wiggins,A.
golden_state,33,James Wiseman,Wiseman,J.
la_lakers,37,Kostas Antetokounmpo,Antetokounmpo,K.
la_lakers,12,Devontae Cacok,Cacok,D.
la_lakers,1,Kentavious Caldwell-Pope,Caldwell-Pope,K.
la_lakers,4,Alex Caruso,Caruso,A.
la_lakers,2,Quinn Cook,Cook,Q.
la_lakers,3,Anthony Davis,Davis,A.
la_lakers,2,Andre Drummond,Drummond,A.
la_lakers,10,Jared Dudley,Dudley,J.
la_lakers,14,Marc Gasol,Gasol,M.
la_lakers,15,Montrezl Harrell,Harrell,M.
la_lakers,5,Talen Horton-Tucker,Horton-Tucker,T.
la_lakers,23,LeBron James,James,L.
la_lakers,30,Damian Jones,Jones,D.
la_lakers,0,Kyle Kuzma,Kuzma,K.
la_lakers,9,Wesley Matthews,Matthews,W.
la_lakers,28,Alfonzo McKinnie,McKinnie,A.
la_lakers,7,Ben McLemore,McLemore,B.
la_lakers,88,Markieff Morris,Morris,M.
la_lakers,17,Dennis Schröder,Schröder,D.
