,start,end,start_frame,end_frame,text
0,0.0,4.46,0,133,I was not breaking news. They're a different basketball team with a healthy hole LeBron James
1,5.88,9.96,176,298,15 games over 500 when he's healthy three games under 500
2,10.52,13.84,315,415,Creates offense for himself and his teammates. They need him
3,14.08,19.72,422,591,They all Jeff step curry what he's done over the past month and a half has been absolutely brilliant
4,19.92,26.84,597,805,He's as valuable as any player in this league. They play great defense and they have the ultimate home run hitter
5,27.56,30.36,826,910,Up beneath the team. It hasn't been easy this season
6,30.72,36.04,921,1081,But both finished up the regular season strong the Lakers ended with a five game winning streak
7,36.76,39.44,1102,1183,And the Warriors ended with a six game winning streak
8,40.76,46.16,1222,1384,Watch out James again with that right ankle nut. He played last couple of games did tweak it on Sunday
9,46.879999999999995,49.36,1406,1480,But he played very well in those final two games
10,50.4,56.44,1512,1693,And here's one of the fun matchups in this series Anthony Davis has to take a tough shot well defended by Draymond Green
11,56.84,58.84,1705,1765,obviously
12,61.32000000000001,66.56,1839,1996,Both teams would love to get the win tonight and give it a little extra time to heal and prepare for their opponent
13,66.68,69.44,2000,2083,As Andrew Wiggins gets inside and gets the bucket
14,70.28,72.76,2108,2182,"To me, he's the key. They need"
15,73.64,77.78,2209,2333,25 from him tonight to be able to score enough to win
16,78.4,80.7,2352,2421,Schroeder nice play and drumming
17,81.46000000000001,85.66,2443,2569,Well a big flush down the other end and that's a welcome sight for Laker fans
18,85.66,92.78,2569,2783,It's not Anthony Davis and LeBron James making every play but you get Schroeder making plays for drumming. They can be dangerous
19,93.3,95.54,2799,2866,Can't face more for three. That's good
20,97.94,101.18,2938,3035,Now Steve Kurt talking before the game knows it's a taunting task
21,101.74000000000001,107.62,3052,3228,"Against a Laker team went healthy. They're as good as anybody in the league, but he also knows just one game"
22,107.62,110.46000000000001,3228,3313,That's all you have to win. This is not a playoff series
23,110.86,112.86,3325,3385,It's a one game and move on
24,114.58,118.46000000000001,3437,3553,Schroeder's jumper ball tipped and taken by Draymond Green
25,123.3,127.0,3699,3810,"On the season Warriors 39 and 33, but they finished"
26,127.82000000000001,133.14000000000001,3834,3994,Winning 15 of their final 20 games in the regular season. Just great basketball as Wiggins
27,133.66,136.82,4009,4104,Knocks down another and he's playing with a lot more confidence. Look at that
28,136.85999999999999,141.85999999999999,4105,4255,They didn't wait for Steph Curry to make a play waved everybody out of the way and took advantage of his matchup
29,142.54,147.73999999999998,4276,4432,James to Davis Davis goes right at Draymond Green again. Well-defended Davis thought he was hit
30,153.74,159.57999999999998,4612,4787,Lakers have not been dominant at home this season clearly a lot of that had to do with missing the two players
31,160.29999999999998,161.82,4808,4854,As Curry pulls back
32,161.85999999999999,167.9,4855,5037,But despite all the misses as Draymond Green kicks it out to Bayes more and Bayes more from the elbow jumper way off
33,168.62,174.54,5058,5236,Looney has to throw it up and then hit the ram and it goes in Kevon Looney very aware of the shot clock about to expire
34,177.82,179.82,5334,5394,But Jeff you talked about
35,179.82,186.82,5394,5604,Without Anthony Davis and LeBron James you were impressed as Schroeder misses impressed the way the Lakers kept being competitive
36,187.18,189.98,5615,5699,Absolutely defensively they remained rock-solid
37,190.14,192.14,5704,5764,They just had some troubles offensively
38,193.22,199.66,5796,5989,But what they've done defensively all year to be the best team in the league at that end is special
39,200.78,206.17999999999998,6023,6185,Curry throws the pass stolen by Anthony Davis and number one rated defensive team
40,207.14,209.14,6214,6274,Davis for three
41,209.94,214.12,6298,6423,"Rebound kept alive by Drummond, but he's gonna be called for a loose ball foul"
42,214.12,217.16,6423,6514,Andre Drummond signed at the end of March after a buyout
43,218.48000000000002,220.48000000000002,6554,6614,with the Cavaliers
44,221.28,227.16,6638,6814,This is his 22nd game started all 21 games average just under 12 points little over 10 rebounds
45,227.88,233.4,6836,7002,But Frank Bogus is still a work in progress trying to get him comfortable and familiar with playing with his new teammates
46,235.48000000000002,237.48000000000002,7064,7124,Curry to Looney
47,237.95999999999998,239.95999999999998,7138,7198,Curry to Looney
48,241.0,245.67999999999998,7230,7370,Curry using a dream on green screen nice feet inside Looney shot blocked
49,246.35999999999999,249.92,7390,7497,Andre Chumman with the rejection Looney was ready to throw it down
50,251.76,253.76,7552,7612,James to Davis
51,253.95999999999998,260.76,7618,7822,James with the tip in with the left hand and Frank Bogus I rate he thought David Davis got fouled again. I thought it was a good block
52,261.28,266.48,7838,7994,Curry flips it up shot to strong Looney back out to base more wide open three
53,269.32,272.03999999999996,8079,8161,And Volga wants a timeout hot start
54,272.84,277.12,8185,8313,Such so many different matchups to look at have fun. Let's let's start with Steph Curry Jeff
55,277.84,281.56,8335,8446,How do the Lakers try and guard him? What do you think their their game plan will be?
56,282.28,287.92,8468,8637,"Well, the thing I think for a great defensive team like the Lakers that they have to avoid is overreacting"
57,287.96000000000004,291.96000000000004,8638,8758,To Curry and leaving others open. That's what's happened to start this game
58,293.64000000000004,298.92,8809,8967,They will mark a big question for Frank Vogel and the Lakers they've got the size advantage
59,298.92,304.08000000000004,8967,9122,They've got the traditional centers Golden State likes to play small ball. How do you handle that? If you're Frank Bogus?
60,304.08000000000004,308.24,9122,9247,"Well to me, I like to see him post up LeBron James. It's a smaller"
61,308.76,315.20000000000005,9262,9456,Wiggins are last possessing base more defending him take advantage of that size and strength creating offense for himself as well
62,315.2,318.03999999999996,9456,9541,For his teammates Wiggins has had a terrific year
63,318.32,322.32,9549,9669,Defensively and the Golden State the fifth rated defense in the NBA this year
64,322.32,327.32,9669,9819,Oh and Wiggins with the block of James has to fire it up and it's the side of the backboard
65,327.32,329.32,9819,9879,Great defensive play from Andrew Wiggins
66,330.84,335.56,9925,10066,"This is a great defensive play coach, but in my opinion LeBron lets him off the hook. He fades away"
67,335.56,337.56,10066,10126,There's no help coming. That's one-on-one
68,337.56,341.84,10126,10255,Beat him on your terms go towards the basket as opposed to fading away from the defense
69,341.84,348.64,10255,10459,Wiggins had a strong finish to the season especially after the all-star break not only the defense but averaging over 20 per game
70,349.44,351.44,10483,10543,Ball deflected by Caldwell-Polk
71,352.15999999999997,355.2,10564,10656,Wiggins guarded by James down the other end knocks down the three
72,356.0,361.67999999999995,10680,10850,Pretty good couple of sequences for Andrew Wiggins to start his play in game. He's had a tremendous year
73,361.67999999999995,365.67999999999995,10850,10970,I mean like when he's the third most important player in the NBA
74,366.64,368.64,10999,11059,He's had a tremendous year
75,368.64,375.12,11059,11253,I mean like when he's the third most important player like he was in Minnesota the year they went to the playoffs when he was there
76,375.52,379.6,11265,11388,It's a perfect role for him. I mean he's played exceptional basketball this year
77,380.32,382.32,11409,11469,Particularly the second half of the year
78,382.64,386.4,11479,11592,Drummond puts it on the floor double team back out to Davis shot clock down a three
79,386.72,393.44,11601,11803,James a three-pointer way off and Draymond bringing the rebound the Lakers have missed nine of their first 11 from the field
80,394.08,399.2,11822,11976,Bazemore running gets it a loony and loony and a hell ball with Anthony Davis
81,399.52,404.8,11985,12144,I'm just thinking about it think about your third best player with the ability to average 20 to 25 points
82,405.04,408.08,12151,12242,You put clay thompson with this unit watch out next year
83,410.14,416.56,12304,12496,"Absolutely, and I give steve kerr a lot of credit he's narrowed his rotation they play eight guys now"
84,416.72,420.42,12501,12612,There's more comfort level. They're an older team. They're experienced
85,421.38,425.3,12641,12759,You don't go far in the nba playoffs playing all young guys
86,425.62,430.76,12768,12922,You saw clay thompson there once that injury changed a lot of plans for the golden state warriors
87,434.5,440.82,13035,13224,James now guarded by basemore wiggins helps out schroeder good ball movement here caldwell pope good luck knocks down the three
88,442.74,447.70000000000005,13282,13431,And that's what they want out of that double team I would rather stunt at anthony davis
89,448.09999999999997,452.58,13442,13577,Stay at home with caldwell pope and make anthony davis shoot and make threes
90,453.14,459.21999999999997,13594,13776,"You see schroeder initially on steve curry. There'll be a number of players james with the deflection, but wiggins able to get it back"
91,460.42,462.34,13812,13870,shock lock down to four
92,462.34,464.34,13870,13930,Wiggins pull up three
93,465.14,471.3,13954,14139,And drummond rips down the rebound drummond one of the premier elite rebounders in the game throughout his career
94,471.7,473.7,14151,14211,Here
95,474.66,477.16,14239,14314,Caldwell pope off balance
96,482.82,486.36,14484,14590,James goes down the lane the runner and draws the foul on basemore
97,491.22,494.90000000000003,14736,14847,"Well, they get the switch and then they double and they full rotate"
98,495.78000000000003,498.42,14873,14952,That's a long closeout by wiggins
99,499.14000000000004,501.46000000000004,14974,15043,"Again, I would have rather stunted off of"
100,502.1,504.26,15063,15127,Caldwell pope and made anthony davis
101,504.90000000000003,506.74,15147,15202,Shoot the long ball
102,506.74,509.38,15202,15281,And mike did we have starting lineups earlier? Yes
103,510.26,516.1,15307,15483,I wish they were sponsored by taco bell and I could have said sponsored by taco fall
104,518.1800000000001,524.5,15545,15735,I'm surprised you waited so long to take your first shot man. You didn't come up for breath. So I I was i've been sitting on that
105,525.46,528.9,15763,15867,James hits the free throw but congratulations to you
106,529.62,536.9,15888,16107,On truly a hall of fame career. It was an honor to be at your induction. Absolutely well deserved and an incredible speech
107,537.38,539.3,16121,16178,You made us proud partner
108,539.3,541.3,16178,16238,"Thank you gentlemen, but this is a fact"
109,541.78,545.94,16253,16378,I couldn't have done it without you man. We don't need to hear that. That's fake hustle man. That's like saying
110,546.74,548.74,16402,16462,curry couldn't have done it without
111,549.14,551.14,16474,16534,jordan bell come on
112,551.78,556.26,16553,16687,"Why can't you just say thank you to as well? Thank you. No, no, you don't mean that don't say thank you"
113,557.6999999999999,559.6999999999999,16730,16790,He's not sincere man. It's about him
114,561.38,563.38,16841,16901,Walker's lead by six
115,563.86,569.86,16915,17095,Truder guarding curry again curry launches a three-pointer that one off the bark for the rebound want to scott. Oh anderson
116,570.34,574.28,17110,17228,Draymond green tries a three that misses drummond falls in another rebound
117,574.28,576.9399999999999,17228,17308,Michael molder also in the game for golem state. Here's baesmore
118,580.6,586.36,17418,17590,"Molder runs to the corner, but baesmore banks it won't go. The scott. Oh anderson misses the tip here comes james"
119,588.52,592.3,17655,17769,Truder corner three james the offensive rebound
120,595.3199999999999,599.4,17859,17982,Quick move inside draws the contact shot won't go but a foul and he will go right down
121,599.88,605.3199999999999,17996,18159,Quick move inside draws the contact shot won't go but a foul and he will go right back to the free throw line
122,605.48,607.16,18164,18214,But I don't want to sound like a broken record
123,607.16,612.68,18214,18380,But that's the type of plays he's got to make especially the way that they're defending him and I understand coming off
124,612.76,614.76,18382,18442,Injuries trying to feel his way through the game
